searge,name,side,desc
field_100013_f,isPotionDurationMax,2,"True if potion effect duration is at maximum, false otherwise."
field_104003_g,isAggressive,2,
field_104057_T,isGamemodeForced,2,
field_104058_d,mainMenu,2,
field_110150_bn,lastAttacker,2,
field_110152_bk,newPosZ,2,
field_110153_bc,lastDamage,2,Damage taken in the last hit. Mobs are resistant to damage less than this for a short time after taking damage.
field_110155_d,attributeMap,2,
field_110156_b,sprintingSpeedBoostModifierUUID,2,
field_110157_c,sprintingSpeedBoostModifier,2,
field_110158_av,swingProgressInt,2,
field_110168_bw,leashedToEntity,2,
field_110169_bv,isLeashed,2,
field_110187_bq,babySpeedBoostUUID,2,
field_110188_br,babySpeedBoostModifier,2,
field_110192_bp,attackingSpeedBoostModifierUUID,2,
field_110193_bq,attackingSpeedBoostModifier,2,
field_110194_bu,lastEntityToAttack,2,
field_110268_bz,horseTextures,2,
field_110270_bw,horseArmorTextures,2,
field_110271_bv,horseJumpStrength,2,
field_110272_by,armorValues,2,
field_110274_bs,temper,2,"""The higher this value, the more likely the horse is to be tamed next time a player rides it."""
field_110275_br,horseJumping,2,
field_110276_bu,horseBreedingSelector,2,
field_110277_bt,jumpPower,2,
field_110281_bL,rearingAmount,2,
field_110282_bM,prevRearingAmount,2,
field_110283_bJ,headLean,2,
field_110284_bK,prevHeadLean,2,
field_110287_bN,mouthOpenness,2,
field_110288_bO,prevMouthOpenness,2,
field_110289_bD,eatingHaystackCounter,2,
field_110290_bE,openMouthCounter,2,
field_110291_bB,horseMarkingTextures,2,
field_110293_bH,hasReproduced,2,
field_110295_bF,jumpRearingCounter,2,
field_110296_bG,horseChest,2,
field_110312_d,locationSkin,2,
field_110313_e,locationCape,2,
field_110314_b,locationStevePng,2,
field_110315_c,downloadImageCape,2,
field_110316_a,downloadImageSkin,2,
field_110320_a,horseJumpPowerCounter,2,
field_110321_bQ,horseJumpPower,2,
field_110323_l,statIcons,2,
field_110324_m,icons,2,
field_110325_k,optionsBackground,2,
field_110328_d,pumpkinBlurTexPath,2,
field_110329_b,vignetteTexPath,2,
field_110330_c,widgetsTexPath,2,
field_110352_y,minecraftTitleTextures,2,
field_110353_x,splashTexts,2,
field_110444_H,locationMojangPng,2,
field_110445_I,macDisplayModes,2,
field_110446_Y,fileAssets,2,
field_110447_Z,launchedVersion,2,
field_110448_aq,mcResourcePackRepository,2,
field_110449_ao,defaultResourcePacks,2,
field_110450_ap,mcDefaultResourcePack,2,
field_110451_am,mcResourceManager,2,
field_110452_an,metadataSerializer_,2,
field_110453_aa,proxy,2,
field_110456_c,serverProxy,2,
field_110463_b,packFormat,2,
field_110464_a,packDescription,2,
field_110465_b,charLefts,2,
field_110466_c,charSpacings,2,
field_110467_a,charWidths,2,
field_110475_d,frameTime,2,
field_110476_b,frameWidth,2,
field_110477_c,frameHeight,2,
field_110478_a,animationFrames,2,
field_110481_b,textureClamp,2,
field_110482_a,textureBlur,2,
field_110498_b,frameTime,2,
field_110499_a,frameIndex,2,
field_110506_b,gsonBuilder,2,
field_110507_c,gson,2,"Cached Gson instance. Set to null when more sections are registered, and then re-created from the builder."
field_110508_a,metadataSectionSerializerRegistry,2,
field_110520_f,locationTexturePackIcon,2,
field_110521_d,rePackMetadataSection,2,
field_110522_e,texturePackIcon,2,
field_110523_b,resourcePackFile,2,
field_110524_c,reResourcePack,2,
field_110525_a,reResourcePackRepository,2,
field_110529_f,mcmetaJsonChecked,2,
field_110530_g,mcmetaJson,2,
field_110531_d,mcmetaInputStream,2,
field_110532_e,srMetadataSerializer,2,
field_110533_b,srResourceLocation,2,
field_110534_c,resourceInputStream,2,
field_110535_a,mapMetadataSections,2,
field_110539_b,frmMetadataSerializer,2,
field_110540_a,resourcePacks,2,
field_110546_b,reloadListeners,2,
field_110547_c,rmMetadataSerializer,2,
field_110548_a,domainResourceManagers,2,
field_110553_a,glTextureId,2,
field_110559_g,textureUploaded,2,
