searge,name,side,desc
func_100011_g,getIsPotionDurationMax,2,Checks if the potion duration is at its maximum.
func_100012_b,setPotionDurationMax,2,Toggle the isPotionDurationMax field.
func_100015_a,isKeyDown,2,Returns whether the specified key binding is currently being pressed.
func_102007_a,canInsertItem,2,"Returns true if automation can insert the given item in the given slot from the given side. Args: Slot, item, side"
func_102008_b,canExtractItem,2,"Returns true if automation can extract the given item in the given slot from the given side. Args: Slot, item, side"
func_104002_bU,isNoDespawnRequired,2,Checks if this living entity does not require despawning.
func_104056_am,getForceGamemode,2,Gets the force game mode of this Minecraft server.
func_104112_b,saveExtraData,2,"Save extra data not associated with any Chunk.  Not saved during autosave, only during world unload.  Currently unimplemented."
func_104140_m,saveChunkData,2,saves chunk data - currently only called during execution of the Save All command
func_110123_P,onChunkLoad,2,Called when this entity chunk is loaded.
func_110124_au,getUniqueID,2,Gets the unique ID (UUID) of this entity.
func_110125_a,setParticleIcon,2,Sets the particle icon of this particle.
func_110128_b,onBroken,2,Called when this entity is broken. Entity parameter may be null.
func_110130_b,getKnotForBlock,2,Gets the leash knot for a block position of this leash knot entity.
func_110131_b,removeFrameFromMap,2,Removes the dot representing this frame's position from the map when the item frame is broken.
func_110138_aP,getMaxHealth,2,Gets the max health of this boss display data.
func_110139_bj,getAbsorptionAmount,2,Gets the absorption amount of this player.
func_110140_aT,getAttributeMap,2,Gets the attribute map of this living entity.
func_110143_aJ,getHealth,2,Gets the health of this boss display data.
func_110144_aD,getLastAttacker,2,Gets the last attacker of this living entity.
func_110145_l,dismountEntity,2,Moves the entity to a position out of the way of its mount.
func_110147_ax,applyEntityAttributes,2,Method to apply entity attributes on this player.
func_110148_a,getEntityAttribute,2,Gets the entity attribute of this living entity.
func_110149_m,setAbsorptionAmount,2,Sets the absorption amount of this player.
func_110159_bB,updateLeashedState,2,"Applies logic related to leashes, for example dragging the entity or breaking the leash."
func_110160_i,clearLeashed,2,Removes the leash from this entity. Second parameter tells whether to send a packet to surrounding players.
func_110161_a,onSpawnWithEgg,2,Called when this villager entity spawn with egg.
func_110162_b,setLeashedToEntity,2,Sets the entity to be leashed to.
func_110164_bC,allowLeashing,2,Method to allow leashing on this villager entity.
func_110165_bF,recreateLeash,2,Method to recreate leash on this living entity.
func_110166_bE,getLeashedToEntity,2,Gets the leashed to entitY of this living entity.
func_110167_bD,getLeashed,2,Gets the leashed of this living entity.
func_110171_b,setHomeArea,2,Sets the home area of this creature entity.
func_110172_bL,getHomePosition,2,Returns the chunk coordinate object of the home position.
func_110173_bK,isWithinHomeDistanceCurrentPosition,2,Checks if this creature entity is within home distance current positionition.
func_110175_bO,hasHome,2,Returns whether a home area is defined for this entity.
func_110176_b,isWithinHomeDistance,2,Checks if this creature entity is within home distance.
func_110177_bN,detachHome,2,Method to detach home on this creature entity.
func_110195_a,addGrowth,2,"""Adds the value of the parameter times 20 to the age of this entity. If the entity is an adult (if the entity's age is greater than 0), it will have no effect."""
